site_id;super_site
1153;889
127;89
1171;903
1172;904
1173;905
1174;906
1175;907
1176;908
1178;909
5349;909
1163;898
1164;899
1165;899
18;9
128;90
1166;900
1167;901
1170;902
1186;916
1187;917
1188;918
1190;919
1191;919
1192;919
130;92
1193;920
129;91
1179;910
1180;911
1181;912
1182;913
1183;914
1184;915
1185;915
1204;929
131;93
1205;930
1206;931
1207;932
1208;933
1209;934
1210;935
1196;921
1197;922
1198;923
1199;924
1200;925
1201;926
1202;927
1203;928
1218;941
1219;942
1220;943
1221;943
1222;944
1223;945
1224;945
1225;946
1211;936
1212;937
1213;938
1215;939
3749;939
132;94
1216;940
1217;940
1232;952
3776;952
1233;953
1234;954
1235;955
1236;956
1237;957
1238;958
1226;947
1227;948
1228;949
133;95
1229;950
1230;950
1231;951
3771;951
1014;787
1015;788
1016;789
110;79
1017;790
1018;790
1019;791
1020;791
1006;783
1007;783
1008;784
1009;785
1010;785
1011;785
1012;786
1013;787
1028;796
1029;797
1030;798
1031;799
16;8
112;80
1032;800
1033;800
1021;792
1022;792
3748;792
1023;793
1024;794
1025;794
1026;795
1027;796
1043;807
1044;808
1045;809
113;81
3723;81
5516;81
1046;810
1047;811
1034;800
1035;801
1037;802
1038;803
1039;804
1040;805
1041;805
1042;806
1056;819
1057;819
1058;819
3484;819
114;82
115;82
116;82
117;82
1048;811
1049;812
1050;813
1051;814
1052;815
1053;816
1054;817
1055;818
1067;828
1068;829
119;83
1069;830
1070;830
1071;830
1072;831
1073;831
1059;820
1060;821
1061;822
1062;823
1063;824
1064;825
1065;826
1066;827
1082;838
2087;838
1085;839
1824;839
120;84
1086;840
1087;841
1088;841
1074;832
1075;833
1076;834
1077;835
1078;836
1079;836
1080;836
1081;837
1097;847
1098;848
1099;849
3943;849
121;85
1100;850
5036;850
1101;851
1089;842
1090;843
1091;843
1092;844
1094;845
1095;845
1096;846
5198;846
5476;858
1111;859
4825;859
122;86
123;86
1112;860
1113;861
1114;861
1102;851
1103;852
1104;853
1105;854
1106;855
1107;856
1109;857
1110;858
900;701
901;702
902;703
903;704
904;705
905;706
906;707
907;708
895;697
896;698
897;699
898;699
14;7
15;7
96;70
899;700
914;714
915;715
916;716
917;717
919;718
920;719
98;72
99;72
908;709
4552;709
97;71
909;710
910;710
911;711
912;712
913;713
929;727
930;728
931;728
932;729
101;73
102;73
933;730
934;731
921;720
922;721
923;722
924;722
925;723
926;724
927;725
928;726
4842;735
943;736
944;737
945;738
946;738
947;739
949;739
103;74
935;732
936;732
937;733
938;733
939;733
940;734
941;735
942;735
956;745
957;746
958;747
959;748
960;749
104;75
961;750
964;750
948;740
950;741
951;742
952;742
953;742
3516;742
954;743
955;744
3886;755
970;756
971;757
972;758
973;759
105;76
106;76
974;760
965;750
962;751
963;752
966;753
6110;753
967;754
968;754
969;755
984;767
986;768
987;769
107;77
988;770
989;771
990;772
991;773
975;761
976;762
977;763
978;764
979;765
981;766
982;766
983;766
109;78
1000;780
1001;781
1002;782
1003;782
1004;782
4490;782
1005;783
993;774
994;775
995;776
996;777
997;778
998;778
999;779
108;78
789;605
790;606
791;607
792;608
794;609
86;61
795;610
796;610
781;602
782;602
783;602
784;602
785;602
786;602
787;603
788;604
805;618
806;619
87;62
807;620
808;621
809;622
810;622
811;622
797;610
798;611
799;612
800;613
801;614
802;615
803;616
804;617
88;63
89;63
820;630
821;631
822;632
823;633
824;634
825;635
812;623
813;624
814;625
815;626
817;626
816;627
818;628
819;629
834;639
90;64
835;640
3709;640
836;641
837;642
838;643
839;644
826;636
827;636
828;637
829;637
830;637
831;638
832;639
833;639
845;650
4467;650
846;651
847;652
848;653
849;654
850;655
4466;655
840;645
4852;645
4853;645
841;646
842;647
843;648
844;649
91;65
856;661
857;662
858;663
859;664
860;665
861;666
862;667
863;668
851;656
852;657
853;658
3661;658
3680;658
854;659
92;66
855;660
870;675
871;676
872;677
873;678
874;679
94;68
875;680
876;681
864;669
93;67
865;670
866;671
867;672
868;673
869;674
3639;674
95;69
887;690
888;691
889;692
890;693
891;694
892;695
893;696
878;682
879;683
881;684
882;685
883;686
884;687
885;688
886;689
680;517
681;518
682;519
3496;519
74;52
75;52
683;520
684;520
73;51
673;510
674;511
675;512
676;513
677;514
678;515
679;516
3835;525
693;526
694;526
4865;526
695;527
697;528
698;529
76;53
685;520
686;521
687;522
688;523
690;524
691;524
692;525
3834;525
705;536
706;537
707;538
708;539
77;54
78;54
709;540
710;541
699;530
700;531
4987;531
701;532
702;533
703;534
3522;534
704;535
718;548
719;548
720;549
79;55
721;550
722;551
723;552
724;552
3649;541
711;542
712;542
713;543
714;544
715;545
716;546
717;547
3021;559
80;56
734;560
736;561
737;562
738;563
739;564
741;565
725;553
726;554
727;555
728;555
730;556
731;557
732;558
733;559
748;571
749;572
750;573
751;574
752;575
753;576
754;577
755;578
742;566
743;567
744;568
745;569
3854;569
81;57
746;570
747;571
763;585
764;586
765;587
766;588
767;589
83;59
84;59
768;590
756;579
82;58
757;580
758;581
759;582
760;582
761;583
762;584
777;598
778;599
10;6
11;6
12;6
85;60
779;600
780;601
770;591
771;592
772;593
773;594
4226;594
774;595
775;596
776;597
12702;4894
12703;4895
12704;4896
12705;4896
12706;4896
12707;4896
12708;4896
12709;4897
12694;4888
12695;4889
648;489
3853;489
12696;4890
12697;4891
12698;4892
12699;4893
12717;4903
12719;4904
12720;4905
12721;4906
12722;4907
12723;4908
12724;4909
651;491
12710;4898
12711;4898
12712;4899
68;49
650;490
12714;4900
12715;4901
12716;4902
12736;4918
12737;4919
652;492
6142;492
12738;4920
12739;4921
12740;4922
12741;4923
12725;4910
12726;4911
12728;4912
12729;4913
12730;4914
12731;4915
12733;4916
12734;4917
12749;4931
12750;4932
12751;4933
12753;4934
12754;4935
12755;4936
12756;4937
12757;4938
12742;4924
12743;4925
12744;4926
12745;4927
12746;4928
12747;4929
653;493
12748;4930
