stop_id;super_site
1001731;2810
9000646;3898
9000647;3898
9000648;3898
1001732;2190
9000649;3898
9000650;3898
9000692;3884
9000693;3885
9000694;3885
9000696;3886
9000697;3887
1001734;2190
1001735;1863
1001736;1863
9000699;3893
9000700;3893
9000379;3813
9000380;3814
9000382;3767
1001737;1863
9000383;2561
9000384;119
9000386;1346
9000387;561
9000388;1920
9000400;3823
9000401;3823
9000403;3823
9000404;3823
9000406;3823
9000408;3680
9000409;3680
9000410;3680
9000411;3680
1001738;1863
9000425;3828
1001739;1866
1001740;1866
9000426;3827
1001741;1864
1001747;2877
9000429;185
9000430;2280
9000432;3261
9000433;3377
9000434;1488
9000435;1509
9000436;3829
9000437;3830
9000438;3831
9000461;1202
9000462;483
9000463;1548
9000464;1545
9000468;486
9000469;199
9000470;336
9000471;1305
9000472;884
9000484;3843
9000487;3844
9000490;3846
9000491;3846
9000492;3847
9000493;3847
9000495;3848
9000496;3848
9000504;3679
9000505;3679
1001753;1902
9000506;3679
1001794;2807
1001796;2674
1001802;425
1001812;1548
1001836;3567
9000251;1201
9000266;453
9000321;3798
1001837;3568
1001838;3568
9000322;3798
9000323;2900
9000324;1650
9000325;2890
9000327;3133
9000328;3800
9000329;464
9000330;105
9000331;368
9000333;2568
9000334;3765
9000335;680
9000336;2888
9000338;3802
9000339;3802
1001839;2341
9000340;3802
9000332;1121
1001841;3570
9000415;3824
9000417;3824
9000418;3824
9000420;3824
9000422;3826
9000423;3827
9000474;3835
9000475;3835
9000477;3835
9000477;3837
9000479;3835
9000480;3839
9000481;3840
9000538;3857
9000538;4626
9000540;3858
1001842;3570
1001843;3569
1001844;3569
9000541;3567
9000542;3050
9000562;3861
9000563;3861
9000564;3861
9000565;3861
9000566;3487
9000567;2341
9000568;3862
9000569;3863
9000570;3864
9000584;3768
9000585;3768
9000586;3768
9000162;2076
9000587;3768
9000588;3768
1001845;3569
9000589;3768
9000559;2495
9000560;3861
9000561;3861
9000511;3850
9000494;3847
9000610;1403
1001846;3569
1001847;3487
1001857;2941
1001859;3561
9000623;3870
9000624;3870
9000625;3870
9000627;3870
1001860;3561
9000457;1739
9000002;1969
9000592;3868
9000241;3774
9000609;3876
9000413;3681
9000184;2301
9000603;3877
9000628;3870
9000628;4581
9000714;3610
9000482;3841
9000143;768
9000534;3853
9000399;3605
9000501;3849
9000501;4623
9000643;3898
9000424;3828
13382;1836
1001861;3561
1002776;2569
1001862;3561
1001868;3437
1002491;3614
13933;3591
1002301;3553
1002066;1509
1001869;3437
1001870;2068
1001871;2068
1001872;3440
1001873;3566
1001874;3566
1001875;3564
1001876;3564
1001877;3565
1001879;3564
1001880;3564
1001881;3563
1000699;1283
1001882;3563
1001901;2212
1001901;2213
1001902;2212
1001902;2213
1001905;2247
1001906;2247
1001911;2181
1001912;2090
1001929;2927
1001930;2927
1001946;2762
1001967;984
1001972;3415
1001973;3415
1001974;3412
1001975;3412
1001976;3412
1001977;3412
1002162;2865
1001978;3412
1001979;3412
1002003;2161
1002004;2161
1002005;2160
1002006;2160
1002007;2160
4180;1879
1002008;2160
1002009;2160
1002010;2160
1002011;2159
1002012;2159
1002013;2157
1002014;2157
1002015;2501
1002016;2501
4182;1892
1002017;2332
1002018;2332
3851;1449
1002019;2500
1002020;2500
1002021;2155
1002022;2155
1002023;2154
