X;Y;super_site
4220238.438;7510523.457;3761
4170169.017;7536614.911;3760
4214631.953;7543738.169;3803
4220078.635;7518337.635;3802
4220078.635;7518337.635;3802
4220078.635;7518337.635;3802
4026897.814;7461859.491;3806
4026897.814;7461859.491;3806
3992034.939;7458629.827;3805
4209650.294;7543592.33;3804
4209835.55;7501903.09;38
4143076.118;7485185.285;3799
4127724.538;7470967.402;3798
4127724.538;7470967.402;3798
4221036.942;7581866.99;3801
4154000.011;7488302.895;3800
4196439.447;7494832.404;380
4196439.447;7494832.404;380
4092059.858;7477496.898;3808
4092059.858;7477496.898;3808
4092059.858;7477496.898;3808
4092059.858;7477496.898;3808
4129641.748;7487448.963;3811
4117435.566;7482232.142;3810
4195471.107;7494223.577;381
4104771.192;7481396.224;3809
4062268.343;7474123.844;3807
4026897.814;7461859.491;3806
4026897.814;7461859.491;3806
4026897.814;7461859.491;3806
4062268.343;7474123.844;3807
4062268.343;7474123.844;3807
4062268.343;7474123.844;3807
4062268.343;7474123.844;3807
4261065.452;7633436.497;3791
4261065.452;7633436.497;3791
4261065.452;7633436.497;3791
4261065.452;7633436.497;3791
4233185.394;7606384.395;3792
4233185.394;7606384.395;3792
4233185.394;7606384.395;3792
4233185.394;7606384.395;3792
4276188.715;7455148.068;3789
4288573.475;7446908.197;3788
4281930.835;7451587.659;3787
4281930.835;7451587.659;3787
4261065.452;7633436.497;3791
4262866.465;7467554.15;3790
4196981.126;7495523.004;379
4276188.715;7455148.068;3789
4208355.405;7550238.266;3795
4208355.405;7550238.266;3795
4208355.405;7550238.266;3795
4208355.405;7550238.266;3795
4200607.522;7537710.761;3797
4200607.522;7537710.761;3797
4203595.961;7541443.812;3796
4208355.405;7550238.266;3795
4217721.834;7575207.872;3793
4233185.394;7606384.395;3792
4233185.394;7606384.395;3792
4233185.394;7606384.395;3792
4212261.404;7560834.957;3794
4217721.834;7575207.872;3793
4217721.834;7575207.872;3793
4217721.834;7575207.872;3793
4111756.213;7493678.88;3679
4111756.213;7493678.88;3679
4111756.213;7493678.88;3679
4176587.353;7603458.5;3678
