super_site;super_site_name
2810;Калужское ш.
2190;Сосенки
1863;Столбово
1866;"Поворот на с/х ""Воскресенское"""
1864;Дубровка
2877;"Метро ""Котельники"""
1902;"ТЦ ""Метро"""
2807;Ф-ка им. 1 Мая
2674;"Метро ""Сокольники"""
425;"Метро ""Орехово"""
1548;"Метро ""Текстильщики"""
3567;Ст. Бекасово - 1
3568;Бекасовская ул.
2341;Киевский
3570;Киевское шоссе
3569;Центральная ул.
3487;Ст. Бекасово-Сорт.
2941;"Спорткомплекс ""Измайловский"""
3561;ЖК Легенда
1836;Бауманская ул., 17
2569;Храм
3437;Храм
3614;Гольёво
3591;Кладбище
3553;Мамоново
1509;"Метро ""Рижская"""
2068;Лесная поляна
3440;Зверево
3566;9-я улица
3564;Лучистая ул.
3565;ЖК Борисоглебское
3563;Дер. Рассудово
1283;Новокуркинское ш., 35
2212;Вороновские поля
2213;Вороновские поля
2247;Комбикормовый завод
2181;Западный холм
2090;Новогиреевская ул., 10
2927;"Метро ""Добрынинская"""
2762;Коровий Вал
984;"Метро ""Филевский парк"""
3415;Саввинская наб.
3412;Московский шёлк
2865;Международный грузовой комплекс
2161;Ивановское
2160;"ПСК ""Сотрудничество"""
1879;МИИТ
2159;Рогозинино-2
2157;Поворот на Горчаково
2501;Поворот на Птичное
1892;Селезневская ул.
2332;Верховье
1449;Краснобогатырская ул.
2500;Поворот на Клоково
2155;Производственный комплекс
2154;Губцево
2153;Складское хозяйство
38;"Метро ""Выхино"""
41;"Метро ""Рязанский просп."""
499;Детский сад
3342;Спорткомплекс ЦСКА
4;Михалково
977;"Метро ""Речной вокзал"""
2853;Ул. Маргелова
1195;Рублевское ш.
2240;Коттеджный поселок
2250;Остафьево
1743;Лесная ул.
3445;"Метро ""Ломоносовский проспект"""
681;"Метро ""Ломоносовский проспект"""
3610;"Метро ""Шелепиха"""
2776;"Метро ""ЦСКА"""
2546;"Метро ""Петровский парк"""
2704;Ереванская ул., 24
2257;Зеленая линия
2700;Зеленая линия
1192;Ул. Крылатские Холмы
2705;Смольная ул., 29
2703;"Метро ""Ховрино"""
1972;"МФЦ ""Гольяново"""
2693;"Метро ""Беломорская"""
1256;Ст. Щербинка
2237;Главная аллея
3719;Новостроевская ул.
3065;"Троицк (мкр. ""В"")"
3427;Больница № 67
2282;Сколково
3640;пос. Южный
3467;Кутузово-1
3428;Водоканал
3438;Детский мир
3611;4-ые проходные ЗиО
3560;Быково
3649;Школа № 18
3443;Ленинградская ул.
4238;Ленинградская ул.
3232;Пищекомбинат
3486;Ст. Балашиха
755;Ерино
3485;Спортбаза
3429;Гастроном
3537;Мальчики
3536;Таможенная академия
3538;По требованию
2147;Б. Андроньевская ул.
3539;Жилино
3540;Север
3542;Мирный
3502;Ул. 60 лет Победы
2144;Ст. Угрешская
3516;М/р Западный, 4
3543;Текстиль-Профи
3459;Октябрьский
3541;Строймаркет
3544;ТЦ Реал
3489;Стадион
3483;Солнышко
3441;"К/т ""Заречье"""
3522;Южный квартал
3619;Жегалово
3608;Литвиново
3518;Школа № 2
3424;АТС
3430;Гастроном
3491;"Стадион ""Весна"""
3637;Поворот на Александровку
3625;Ленинский
3482;Советская ул.
1169;Наб. Акад. Туполева
3534;Музыкальная школа
551;"Метро ""Новопеределкино"""
3722;2-я Крылатская ул.
1670;"Метро ""Сокол"""
915;Роддом № 27
2269;Детский сад
2980;Сенежская ул.
914;"К/т ""Байкал"""
1495;Университет Печати
1103;Б-ца МПС
1100;Новопоселковая ул.
1101;Тушинская ул.
2280;Покровское-Стрешнево
1184;Пехотная ул.
1608;Коптевская ул.
1540;3-й Новоподмосковный пер.
1607;Новопетровская ул.
1496;Пр. Черепановых
1606;Школа имени Зои и Александра Космодемьянских
