super_site;name_okrug
423;Южный административный округ
421;Южный административный округ
425;Южный административный округ
424;Южный административный округ
4274;Троицкий административный округ
428;Южный административный округ
4283;Троицкий административный округ
4282;Троицкий административный округ
4285;Троицкий административный округ
4284;Троицкий административный округ
426;Южный административный округ
427;Южный административный округ
431;Юго-Западный административный округ
429;Южный административный округ
4289;Новомосковский административный округ
4288;Троицкий административный округ
430;Южный административный округ
43;Юго-Восточный административный округ
4297;Троицкий административный округ
448;Восточный административный округ
447;Восточный административный округ
449;Юго-Восточный административный округ
450;Восточный административный округ
45;Юго-Восточный административный округ
4502;Юго-Восточный административный округ
455;Юго-Восточный административный округ
441;Южный административный округ
440;Южный административный округ
44;Юго-Восточный административный округ
444;Южный административный округ
442;Южный административный округ
443;Южный административный округ
445;Южный административный округ
446;Восточный административный округ
472;Южный административный округ
4724;Зеленоградский административный округ
473;Южный административный округ
4695;Троицкий административный округ
4694;Троицкий административный округ
470;Северный административный округ
47;Юго-Восточный административный округ
471;Северный административный округ
477;Юго-Восточный административный округ
4780;Новомосковский административный округ
478;Юго-Восточный административный округ
479;Юго-Восточный административный округ
4746;Троицкий административный округ
4745;Новомосковский административный округ
474;Южный административный округ
475;Южный административный округ
4749;Троицкий административный округ
476;Юго-Западный административный округ
482;Юго-Восточный административный округ
4834;Южный административный округ
483;Юго-Восточный административный округ
480;Восточный административный округ
48;Юго-Восточный административный округ
481;Юго-Восточный административный округ
486;Южный административный округ
487;Южный административный округ
488;Южный административный округ
484;Южный административный округ
485;Южный административный округ
4849;Западный административный округ
458;Восточный административный округ
456;Юго-Восточный административный округ
460;Западный административный округ
46;Юго-Восточный административный округ
459;Западный административный округ
4588;Северо-Западный административный округ
463;Западный административный округ
461;Западный административный округ
462;Западный административный округ
4668;Восточный административный округ
467;Северный административный округ
468;Северный административный округ
469;Северный административный округ
464;Западный административный округ
4634;Северный административный округ
465;Северный административный округ
466;Северный административный округ
626;Зеленоградский административный округ
625;Зеленоградский административный округ
624;Зеленоградский административный округ
623;Зеленоградский административный округ
622;Зеленоградский административный округ
